"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9"
"EMB001","http://www.rpiparts.com/PartPage.asp?equip=9&oem=23&model=135&rpinum=EMB001","E-106","BRUSH","DENTAL ENGINE BRUSHES
EMESCO
""N"" Series","RPI Part #EMB001
OEM Part #E-106
BRUSH
2 per package
Size: .250"" x .250"" x .657"" lg.
Radius: .500""
Spring Length: 1.343""
Fits: Brush holder / WSM Holder
Model(s) This Part Fits: ""N"" Series, ""N"" Series, Hood & Motor: E026, E027, E028 & E029, Motor: WSM
Catalog Page(s): 4-902, 4-1400, 13-100
Part Description Updated: 3/29/2013","2 per package
Size: .250"" x .250"" x .657"" lg.
Radius: .500""
Spring Length: 1.343""","http://www.rpiparts.com/pimages/EMB001.GIF"
"RPC037","http://www.rpiparts.com/PartPage.asp?equip=9&oem=23&model=135&rpinum=RPC037","(OEM Part # Not Available)","BRUSH CAP","DENTAL ENGINE BRUSHES
EMESCO
""N"" Series","RPI Part #RPC037
OEM Part # (OEM Part # Not Available)
BRUSH CAP
6 per package
3/8-24 thread
Model(s) This Part Fits: ""N"" Series, ""N"" Series, Autocrit, Autocrit Ultra III, MB Micro-Hematocrit, Micro-Hematocrit, Micro-Hematocrit III, Triac
Catalog Page(s): 3-500, 3-511, 3-900, 4-1400, 3-503
Part Description Updated: 6/25/2014","6 per package
3/8-24 thread","http://www.rpiparts.com/pimages/RPC037.GIF"
"RCB603","http://www.rpiparts.com/PartPage.asp?equip=9&oem=54&model=272&rpinum=RCB603","374G-3","BRUSH","DENTAL ENGINE BRUSHES
RITTER
Models C & D","RPI Part #RCB603
OEM Part #374G-3
BRUSH
2 per package
Size: 3/32"" x 1/4"" x 1/2"" lg.
Bevel: 30˚
Fits: Ritter Engine
Model(s) This Part Fits: C, D, Models C & D
Catalog Page(s): 4-1400, 13-100
Part Description Updated: 5/15/2008","2 per package
Size: 3/32"" x 1/4"" x 1/2"" lg.
Bevel: 30˚","http://www.rpiparts.com/pimages/RCB603.GIF"
"RCB604","http://www.rpiparts.com/PartPage.asp?equip=9&oem=54&model=273&rpinum=RCB604","374G37","BRUSH","DENTAL ENGINE BRUSHES
RITTER
Models E & F","RPI Part #RCB604
OEM Part #374G37
BRUSH
2 per package
Size: 1/8"" x 1/4"" x 1/2"" lg.
Bevel: 30˚
Fits: Ritter Engine
Model(s) This Part Fits: E, F, Models E & F
Catalog Page(s): 4-1400, 13-100
Part Description Updated: 5/15/2008","2 per package
Size: 1/8"" x 1/4"" x 1/2"" lg.
Bevel: 30˚","http://www.rpiparts.com/pimages/RCB604.GIF"
