"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection9","selection3_selection8","selection3_selection10"
"IES026","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=185&rpinum=IES026","(OEM Part # Not Available)","BRAKE SWITCH","CENTRIFUGES
IEC
MB Micro-Hematocrit","RPI Part #IES026
Old RPI Part #DAS026
OEM Part # (OEM Part # Not Available)
BRAKE SWITCH
SPDT
10A, 125VAC-DC; 1/4 HP, 125VAC-DC
Model(s) This Part Fits: MB Micro-Hematocrit
Catalog Page(s): 3-901
Part Description Updated: 6/25/2014","http://www.rpiparts.com/pimages/IES026.GIF","SPDT
10A, 125VAC-DC; 1/4 HP, 125VAC-DC",""
"IET019","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=185&rpinum=IET019","768","MECHANICAL TIME SWITCH (15 MINUTE)","CENTRIFUGES
IEC
MB Micro-Hematocrit","RPI Part #IET019
Old RPI Part #DAT019
OEM Part #768
MECHANICAL TIME SWITCH (15 MINUTE)
See NOTES below for Specs
Model(s) This Part Fits: CM, MB Micro-Hematocrit
Catalog Page(s): 3-901, 13-101
Part Description Updated: 12/4/2013","http://www.rpiparts.com/pimages/IET019.GIF","See NOTES below for Specs","Notes:
Time & Alert Specs:
15 Minutes, Bell Alert
Switch Specs:
15A per pole; 120/240VAC; DPDT
Shaft Specs:
1/4"" dia. x 3/4"" lg. ""D"" Flat
Dimensions Specs:
2.00"" x 2.00"" x 1-3/4"" DP.
Includes:
(4) 1/4"" Male Tab
Knob
15 min. Faceplate
Mounting screws"
"IEW003","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=185&rpinum=IEW003","30897","NYLON WASHER","CENTRIFUGES
IEC
MB Micro-Hematocrit","RPI Part #IEW003
Old RPI Part #DAW003
OEM Part #30897
NYLON WASHER
Fits: Head Adapter
Model(s) This Part Fits: MB Micro-Hematocrit
Catalog Page(s): 3-901
Part Description Updated: 11/17/2006","http://www.rpiparts.com/pimages/IEW003.GIF","",""
"RPC037","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=185&rpinum=RPC037","(OEM Part # Not Available)","BRUSH CAP","CENTRIFUGES
IEC
MB Micro-Hematocrit","RPI Part #RPC037
OEM Part # (OEM Part # Not Available)
BRUSH CAP
6 per package
3/8-24 thread
Model(s) This Part Fits: ""N"" Series, ""N"" Series, Autocrit, Autocrit Ultra III, MB Micro-Hematocrit, Micro-Hematocrit, Micro-Hematocrit III, Triac
Catalog Page(s): 3-500, 3-511, 3-900, 4-1400, 3-503
Part Description Updated: 6/25/2014","http://www.rpiparts.com/pimages/RPC037.GIF","6 per package
3/8-24 thread",""
"IEB011","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=173&rpinum=IEB011","40069","BRUSH","CENTRIFUGES
IEC
PR-6","RPI Part #IEB011
Old RPI Part #DAB011
OEM Part #40069
BRUSH
2 per package
Size: 1/4 x 5/8 x 1-1/8""
Radius: 1.0""
Spring length: 1-1/2""
Copper shunt wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: PR-6, PR-J
Catalog Page(s): 3-902, 13-100
Part Description Updated: 5/15/2008","http://www.rpiparts.com/pimages/IEB011.GIF","2 per package
Size: 1/4 x 5/8 x 1-1/8""
Radius: 1.0""
Spring length: 1-1/2""
Copper shunt wire",""
"IEB012","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=172&rpinum=IEB012","48264","BRUSH","CENTRIFUGES
IEC
PR-6000","RPI Part #IEB012
Old RPI Part #DAB012
OEM Part #48264
BRUSH
2 per package
Size: 1/4 x 1-1/4 x 1-1/4""
Radius: 1-1/8""
Bevel: 5 deg.
Spring length: 1-5/8""
Copper shunt wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: B20-A (Late Model), CRU5000, CU5000, DPR6000, PR-6000
Catalog Page(s): 3-902, 13-100
Part Description Updated: 5/15/2008","http://www.rpiparts.com/pimages/IEB012.GIF","2 per package
Size: 1/4 x 1-1/4 x 1-1/4""
Radius: 1-1/8""
Bevel: 5 deg.
Spring length: 1-5/8""
Copper shunt wire",""
"IEB011","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=174&rpinum=IEB011","40069","BRUSH","CENTRIFUGES
IEC
PR-J","RPI Part #IEB011
Old RPI Part #DAB011
OEM Part #40069
BRUSH
2 per package
Size: 1/4 x 5/8 x 1-1/8""
Radius: 1.0""
Spring length: 1-1/2""
Copper shunt wire
Fits: Brush Holder Assembly
Model(s) This Part Fits: PR-6, PR-J
Catalog Page(s): 3-902, 13-100
Part Description Updated: 5/15/2008","http://www.rpiparts.com/pimages/IEB011.GIF","2 per package
Size: 1/4 x 5/8 x 1-1/8""
Radius: 1.0""
Spring length: 1-1/2""
Copper shunt wire",""
"IEB040","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=398&rpinum=IEB040","45985","CATCH BRACKET ASSEMBLY","CENTRIFUGES
IEC
Spinette","RPI Part #IEB040
OEM Part #45985
CATCH BRACKET ASSEMBLY
Includes (2) screws and mounting plate
Fits: Mounting holes in lid
Model(s) This Part Fits: Spinette
Catalog Page(s): 3-901
Part Description Updated: 11/1/2006","http://www.rpiparts.com/pimages/IEB040.GIF","Includes (2) screws and mounting plate",""
"IEC042","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=398&rpinum=IEC042","46621","POWER CORD","CENTRIFUGES
IEC
Spinette","RPI Part #IEC042
OEM Part #46621
POWER CORD
6 feet long
Includes strain relief bushing
13 AMP
Fits: Mounting holes at bottom rear of centrifuge
Model(s) This Part Fits: Spinette
Catalog Page(s): 3-901
Part Description Updated: 11/1/2006","http://www.rpiparts.com/pimages/IEC042.GIF","6 feet long
Includes strain relief bushing
13 AMP",""
"IEM044","http://www.rpiparts.com/PartPage.asp?equip=6&oem=33&model=398&rpinum=IEM044","46620","MOTOR","CENTRIFUGES
IEC
Spinette","RPI Part #IEM044
OEM Part #46620
MOTOR
1/30 horsepower
120VAC ±10%; 60Hz.
~1.5 AMP current draw
3400 RPM ±200 RPM
Fits: Mounting holes in bottom mounting plate
Model(s) This Part Fits: Spinette
Catalog Page(s): 3-901
Part Description Updated: 2/6/2000","http://www.rpiparts.com/pimages/IEM044.GIF","1/30 horsepower
120VAC ±10%; 60Hz.
~1.5 AMP current draw
3400 RPM ±200 RPM",""
